,created_at,likes,replies,retweets,text,tweet_id,user_id,user_name,user_screen_name
0,1553464384000.0,2,3,0,Hello @econet_support my yo mix app is not opening whenever i try to open it it says sever error please try again ever since i downloaded it,1109936193834270721,3015154174,Osybel Simango,OsybelSimango
1,1553558881000.0,55,1,4,Econet needs to stop sending me 4 SEPARATE promo messages each time I buy airtime/data!,1110332540865441793,202805948,Tino,TinoNyandoro
2,1553614788000.0,0,1,0,@econet_support I sent you my query and no response,1110567033366892545,1653228750,Moses Chibike,moses_chibike
3,1553614908000.0,0,2,1,@econet_support I did ecocash transaction from wallet to bank around 4 pm yesterday   but i cant trace the amount can you please help  ASAP#EconetCustomerCare,1110567533566980096,1110468887991197696,Pretty Mundawaro,MundawaroPretty
4,1553607301000.0,0,1,0,@econet_support  hi guys i am trying to withdraw my money in my ecocash save its saying Do not honor but my money is available whats going on. my number 0774092335,1110535627811049472,797438395920175105,John Nyamutata,JohnNyamutata4
5,1553518145000.0,292,105,22,hie @EcoCashZW @econet_support l bought $1 daily bundle at 14:30 and it said bundle purchase failed but deducted money from my account..ndidzosereiwo $1 rangu ndatenda!!,1110161681920000000,1557138096,Tafadzwa👑Faffie,FaffieManhuhwa
6,1553587022000.0,6,2,0,Am I the only one having challenges with Econet Data?,1110450572870803456,214838060,Brother Bez,SoSoCoolBez
7,1553604867000.0,2,2,0,So why do you Advertise Yo mix when the app isnt working @econet_support,1110525419374161921,2359380099,waynethaboss,weinthaboss
8,1553526700000.0,0,2,0,hi i sent money to wrong person how will i reverse it,1110197563523764231,1110178166822391808,eugene,eugene46940134
9,1553583467000.0,0,1,0,Okay thank you,1110435663575502848,1053562410295005185,Rebecca ndou,RebeccaNdou
10,1553539982000.0,0,1,0,"@econet_support 
Hello econet I transferred 4 dollars from bank account to Econet but I can't see that money",1110253272458244096,2737170179,artwell mutsimhu,amutsimhu
11,1553602975000.0,0,2,0,"@econet_support i have sent you the day, you havent rectified, 
Today just now i have tried to juice airtime, and again ecocash balance gets deducted but no airtime, please see attached screenshots for your perusalpic.twitter.com/MoXEZVgHYJ",1110517484547792898,258816126,Rijkaard,Bvuncer
12,1553605014000.0,0,1,0,Anybody to help me,1110526037757186051,1086493926926757888,Ashie The General,panganaiashton
13,1553582288000.0,0,1,0,@econet_support my number is 0773 057 268 can't buy bundles of joy pliz help,1110430719275421696,4875081587,givemore ntere,GivemoreNtere
14,1553583036000.0,0,1,0,@econet_support I blocked my Eco cash account what do I do,1110433852718305281,1104265503437135872,Kundai Goodheart,kundaigoodheart
15,1553544789000.0,5,0,0,Econet should learn to behave.,1110273435274543104,214838060,Brother Bez,SoSoCoolBez
16,1553519155000.0,45,9,18,NetOne charges $20 for 1.5Gb of data and Econet Wireless $35 for the same amount of data. This translates to just above USD5.00 and USD9.00 per gig per month respectively using the official exchange rate. http://www.cite.org.zw/consumer-rights-body-takes-on-telecoms-companies/ … via @citezw #Asakhe,1110165919232335872,724212263440269312,Cite,citezw
17,1553529695000.0,3,2,0,"I also did the same last week when i tried to buy airtime using ecocash. The error message ""invalid interface, what what"" and my dollar was gone",1110210126407970816,929680274237124608,Panashe Chikonzo,PanaChikonz
18,1553614894000.0,1,1,0,Econet customer care is trash!,1110567477963046912,879789779264704513,eland_bull mhofu,bull_eland
19,1553516887000.0,1,1,1,Econet @econetzimbabwe @econet_support,1110156407008043009,808263596975132673,Loxley LB,LoxleyLb
20,1553604428000.0,5,3,1,"5 confirmation messages for topping up $1 aitime!!! Tipeiwo maserious, @econet_support",1110523581237260294,874652886562742272,RAY,rayaztee1
21,1553606248000.0,0,1,0,Yes bt I wld like to know if it will be possible for reversal of my cash,1110531213423505409,2906484111,General Huccie Hussein,trustobeymukam1
22,1553573557000.0,1,1,0,econet can you check your DM please,1110394098521915392,3943914315,fortune,illustriousdee
23,1553535876000.0,0,1,0,@econet_support what do you do to restore your eco cash account when its blocked due to using wrong pass codes,1110236052923564032,1104265503437135872,Kundai Goodheart,kundaigoodheart
24,1553576964000.0,0,1,0,"@econet_support serial number 71106000334 batch 300012116 , recharge 12340 1615 1377 5 that's the details for an oversratched card , can u help pliz",1110408385034403840,980871347848011777,prospernyamukondiwa,prospernyamuko1
25,1553608379000.0,0,1,0,I forgot my role model at My Web SelfCare what should i do. Try to solve this,1110540152714207232,1069946084770938880,Hon Zvishavane B,Apex69364979
26,1553581085000.0,3,1,1,"Hi @EcoCashZW, @econet_support,
 
I'm sorry I used your services when they were not functioning properly. I was so dumb, I should have known.

Now, can you please assist me on the way forward. I sent you a DM yesterday in the morning.

Your happy customer,

Ngonidzaishe.https://twitter.com/ngonidzaisheand/status/1110108852362641408 …",1110425672529469441,945882769,Ngonidzaishe,ngonidzaisheand
27,1553619969000.0,0,0,0,Watch this space for more updates! ^WS,1110588761140838400,1602751363,Econet Customer Care,econet_support
28,1553594441000.0,7,2,3,"For my side i do sell Merchandise thats a wide range , as well as gigs ryt now we have a high school tour gig we have done Regina Mundi we've Morgan, Churchill aswell as Jameson High School on our cards plus a endorsements lately been pushing for econet pic.twitter.com/kDDwDnW6aD",1110481690022068224,424005289,#MaHunnies Now Out,TeamBhoo_Boss
29,1553576896000.0,0,1,0,Kechingani i have since been sending it kubva 15 March!,1110408100157231104,819196633,Kumagoboo...,BennedictP
30,1553575470000.0,1,1,0,"Thank you, it was reversed",1110402120660983808,2806897927,Matipaishe Mupatsi,matiemupatsi
31,1553573807000.0,0,1,0,@econetzimbabwe @econet_support Hi Econet team see attached screenshots bought data yesterday but it didn’t reflect in my data account but my Ecocash was debited $1.00 for data which I never got. pic.twitter.com/lEropxRsC5,1110395144816263168,253102027,Prince Mukanyawu,PrinceMukanyawu
32,1553588188000.0,1,1,1,"Dear @econet_support 
Its been few weeks now my ecocash is making deductions & the data is always depleting. May you please look into it. Tag @econetzimbabwe as well! #AreWeLosingOurCultureAsAfricans of ukuzwelana in short ngithi bisani iYomix hawu! Saze sahlukumezeka ngani!",1110455463752187904,918995431,MackeyWaseSilobela💯,Mackey_Silobela
33,1553585147000.0,1,1,0,"I have given up on @econet_support ,after they confirm you to have won,they don't deliver the prize",1110442709674799104,705660664870805504,Garie,gariemubed
34,1553590681000.0,13,1,6,"#CycloneIdai: Econet goes full force in search of survivors
Econet says it has deployed the full might of its organisational capacity in search of survivors of recent #CycloneIdaiZW. 

It’s CEO Mboweni, said Econet has brought in 6 helicopters, several drones & rescue boats. pic.twitter.com/2Ckw1QekGB",1110465921196404738,742598981491019777,zanupf_patriots,zanupf_patriots
35,1553534406000.0,8,5,4,Enjoy affordable data rates that are valid for 1 week when you subscribe to telecel's weekly data bundles. Dial *470# now to subscribe today pic.twitter.com/26om4gdM9z,1110229886759849986,271313631,Telecel Zimbabwe,Telecel_Zim
36,1553538767000.0,6,4,4,"If you think blu ticks suck, then you haven’t been ignored by someone ane mari yako @econet_support @EcoCashZW @tudzaa pic.twitter.com/c7YYGft7kP",1110248177066749952,932278192672509952,Kombi Yadhura 🍑💦🇿🇼,BarComic
37,1553619856000.0,0,1,0,Resend via DM the details! ^WS,1110588288593727488,1602751363,Econet Customer Care,econet_support
38,1553607895000.0,0,0,0,Econet #WoodAndNails,1110538120146141184,1085840659,🍁 M A R I O 🍁,arch_Lord1
39,1553608898000.0,0,0,0,Okay,1110542329159532544,1107262186139852800,Maidada,Maidada4
40,1553607294000.0,0,1,0,@econet_support please respond to my dm,1110535600946495488,386945817,Pride Kazunga,kazungapride
41,1553564241000.0,0,1,0,"This is My Mobile Number 0774 472 323 the Name is Denzel Zivai Mombeyarara.

Thank You",1110355021793771521,1104767865012584448,📻GIANT FMTV 🇿🇼RADIO NETWORK🎧,GIANTFMTVONLINE
42,1553619145000.0,0,0,0,with Telone’s new tariffs lm pretty sure Econet and Netone are going tag along ,1110585305743196160,372265390,Tafadzwa.🦁,tafy_01
43,1552929684000.0,0,2,0,@econet_support how is this possible minus $4 instead of $1pic.twitter.com/kIaOnOID4H,1107693498864680961,1025875891648430080,Chandapiwa Tinofirei,CTinofirei
44,1553529295000.0,5,0,0,"Hi @econet_support I'm now using @Telecel_Zim 
Thank you ",1110208448334098434,2390797907,🇿🇼Tweetheart69.1,Stewie_m95
45,1553533624000.0,3,0,1,"But that shit shuld work , when will we ever get to rob Econet neNetone  https://twitter.com/sir_morganc/status/1110225783577067520 …",1110226606423977984,845633721772453888,Blondecai,MayibongweBongo
46,1553611513000.0,5,7,5,"Announcement!!!
As of the 1st of April 2019 the following telecel tariffs will come into effect. pic.twitter.com/92jRq7KnQX",1110553293925896193,271313631,Telecel Zimbabwe,Telecel_Zim
47,1553525150000.0,0,1,0,"I want my $11.
 Ecocash no                 0784581699
Steward Bank account; 1005695119pic.twitter.com/AXsXF7p8zF",1110191064961429505,1069946084770938880,Hon Zvishavane B,Apex69364979
48,1553327107000.0,5,2,3,"Got a quick errand? Hail our low cost HWINDI taxi.

Econet : 0775, 
Econet : 0782, 
NetOne : 0713 
Telecel : 0732

The last six digits come out when you type ‘HWINDI’ ; H is 4, W is 9, I is 4, N is 6, D is 3, I is 4 pic.twitter.com/QMPI6hyg3c",1109360409381912578,858395481008984066,Hwindi,HwindiApp
49,1553464331000.0,5,4,0,@econet_support bundle rewhatsapp hanziiko nhai everyday here ,1109935971032801281,1047805803011461121,Ruva🌹_rashe263🇿🇼,awholelottery
50,1553280942000.0,8,0,0,Why is Econet treating me like a step child?,1109166781141340160,935267305814216704,MB,mi_nenhle
51,1553619932000.0,0,0,0,"Once done , we will communicate officially! ^WS",1110588606370979840,1602751363,Econet Customer Care,econet_support
52,1553521007000.0,2,1,0,@EcoCashZW and @econet_support ipai munhu  nhoz rake   aah,1110173687389585408,1109142879258193922,Future babymama❤,MaShumbakadxi
53,1553555193000.0,5,0,4,Econet goes full force in search of Cyclone Idai survivors http://zimtechreview.co.zw/index-id-Press%20Office-story-2989.html …,1110317073757024256,226602213,Bulawayo24 News,Bulawayo24News
54,1553582298000.0,2,0,0,"Wow  but it goes with the exchange rate doesn't it? I had already starting cutting my internet usage, because even without a data increase cost, I still can't afford Econet bundles. I wonder by how much those are going to go up?  #Zimlife",1110430758018134016,373281658,Tidz M,tidzo
55,1553601925000.0,1,0,0,Is that’s why they are ripping us apart with shitty service. Also I am 100 percent sure Econet wireless is making a profit. https://twitter.com/techzim/status/1110506506015961088 …,1110513080163856384,1664385512,Slimsem (BaEmma),SlimSEM_
