likes,replies,retweets,text,user_screen_name,tidy_tweet,tokenized_tweet,MNO_label,lang,sentiment
2,3,0,Hello @econet_support my yo mix app is not opening whenever i try to open it it says sever error please try again ever since i downloaded it,OsybelSimango,hello  econet support my yo mix app is not opening whenever i try to open it it says sever error please try again ever since i downloaded it,"['hello', 'econet', 'support', 'my', 'yo', 'mix', 'app', 'is', 'not', 'opening', 'whenever', 'i', 'try', 'to', 'open', 'it', 'it', 'says', 'sever', 'error', 'please', 'try', 'again', 'ever', 'since', 'i', 'downloaded', 'it']",e,True,neg
55,1,4,Econet needs to stop sending me 4 SEPARATE promo messages each time I buy airtime/data!,TinoNyandoro,econet needs to stop sending me   separate promo messages each time i buy airtime data ,"['econet', 'needs', 'to', 'stop', 'sending', 'me', 'separate', 'promo', 'messages', 'each', 'time', 'i', 'buy', 'airtime', 'data']",e,True,neutral
0,1,0,@econet_support I sent you my query and no response,moses_chibike, econet support i sent you my query and no response,"['econet', 'support', 'i', 'sent', 'you', 'my', 'query', 'and', 'no', 'response']",e,True,neg
0,2,1,@econet_support I did ecocash transaction from wallet to bank around 4 pm yesterday   but i cant trace the amount can you please help  ASAP#EconetCustomerCare,MundawaroPretty, econet support i did ecocash transaction from wallet to  around   pm yesterday   but i cant trace the amount can you please help  asap#econetcustomercare,"['econet', 'support', 'i', 'did', 'ecocash', 'transaction', 'from', 'wallet', 'to', 'bank', 'around', 'pm', 'yesterday', 'but', 'i', 'cant', 'trace', 'the', 'amount', 'can', 'you', 'please', 'help', 'asap#econetcustomercare']",e,True,neg
0,1,0,@econet_support  hi guys i am trying to withdraw my money in my ecocash save its saying Do not honor but my money is available whats going on. my number 0774092335,JohnNyamutata4, econet support  hi guys i am trying to withdraw my money in my ecocash save its saying do not honor but my money is available whats going on  my number           ,"['econet', 'support', 'hi', 'guys', 'i', 'am', 'trying', 'to', 'withdraw', 'my', 'money', 'in', 'my', 'ecocash', 'save', 'its', 'saying', 'do', 'not', 'honor', 'but', 'my', 'money', 'is', 'available', 'whats', 'going', 'on', 'my', 'number']",e,True,neg
292,105,22,hie @EcoCashZW @econet_support l bought $1 daily bundle at 14:30 and it said bundle purchase failed but deducted money from my account..ndidzosereiwo $1 rangu ndatenda!!,FaffieManhuhwa,hie  ecocashzw  econet support l bought    daily  at       and it said  purchase failed but deducted money from my account  ndidzosereiwo    rangu ndatenda  ,"['hie', 'ecocashzw', 'econet', 'support', 'l', 'bought', 'daily', 'bundle', 'at', 'and', 'it', 'said', 'bundle', 'purchase', 'failed', 'but', 'deducted', 'money', 'from', 'my', 'account', 'ndidzosereiwo', 'rangu', 'ndatenda']",e,True,neutral
6,2,0,Am I the only one having challenges with Econet Data?,SoSoCoolBez,am i the only one having challenges with econet data ,"['am', 'i', 'the', 'only', 'one', 'having', 'challenges', 'with', 'econet', 'data']",e,True,neg
2,2,0,So why do you Advertise Yo mix when the app isnt working @econet_support,weinthaboss,so why do you advertise yo mix when the app isnt working  econet support,"['so', 'why', 'do', 'you', 'advertise', 'yo', 'mix', 'when', 'the', 'app', 'isnt', 'working', 'econet', 'support']",e,True,neg
0,1,0,"@econet_support 
Hello econet I transferred 4 dollars from bank account to Econet but I can't see that money",amutsimhu, econet support  hello econet i transferred   dollars from  account to econet but i can t see that money,"['econet', 'support', 'hello', 'econet', 'i', 'transferred', 'dollars', 'from', 'bank', 'account', 'to', 'econet', 'but', 'i', 'can', 't', 'see', 'that', 'money']",e,True,neg
0,2,0,"@econet_support i have sent you the day, you havent rectified, 
Today just now i have tried to juice airtime, and again ecocash balance gets deducted but no airtime, please see attached screenshots for your perusalpic.twitter.com/MoXEZVgHYJ",Bvuncer, econet support i have sent you the day  you havent rectified   today just now i have tried to juice airtime  and again ecocash balance gets deducted but no airtime  please see attached screenshots for your perusal,"['econet', 'support', 'i', 'have', 'sent', 'you', 'the', 'day', 'you', 'havent', 'rectified', 'today', 'just', 'now', 'i', 'have', 'tried', 'to', 'juice', 'airtime', 'and', 'again', 'ecocash', 'balance', 'gets', 'deducted', 'but', 'no', 'airtime', 'please', 'see', 'attached', 'screenshots', 'for', 'your', 'perusal']",e,True,neg
0,1,0,@econet_support my number is 0773 057 268 can't buy bundles of joy pliz help,GivemoreNtere, econet support my number is              can t buy s of joy pliz help,"['econet', 'support', 'my', 'number', 'is', 'can', 't', 'buy', 'bundles', 'of', 'joy', 'pliz', 'help']",e,True,neg
5,0,0,Econet should learn to behave.,SoSoCoolBez,econet should learn to behave ,"['econet', 'should', 'learn', 'to', 'behave']",e,True,neutral
45,9,18,NetOne charges $20 for 1.5Gb of data and Econet Wireless $35 for the same amount of data. This translates to just above USD5.00 and USD9.00 per gig per month respectively using the official exchange rate. http://www.cite.org.zw/consumer-rights-body-takes-on-telecoms-companies/ … via @citezw #Asakhe,citezw,netone charges     for    gb of data and econet      for the same amount of data  this translates to just above usd     and usd     per gig per month respectively using the official exchange rate     via  citezw #asakhe,"['netone', 'charges', 'for', 'gb', 'of', 'data', 'and', 'econet', 'wireless', 'for', 'the', 'same', 'amount', 'of', 'data', 'this', 'translates', 'to', 'just', 'above', 'usd', 'and', 'usd', 'per', 'gig', 'per', 'month', 'respectively', 'using', 'the', 'official', 'exchange', 'rate', 'via', 'citezw', '#asakhe']",ec,True,neutral
3,2,0,"I also did the same last week when i tried to buy airtime using ecocash. The error message ""invalid interface, what what"" and my dollar was gone",PanaChikonz,i also did the same last week when i tried to buy airtime using ecocash  the error message  invalid interface  what what  and my dollar was gone,"['i', 'also', 'did', 'the', 'same', 'last', 'week', 'when', 'i', 'tried', 'to', 'buy', 'airtime', 'using', 'ecocash', 'the', 'error', 'message', 'invalid', 'interface', 'what', 'what', 'and', 'my', 'dollar', 'was', 'gone']",e,True,neutral
1,1,0,Econet customer care is trash!,bull_eland,econet customer care is trash ,"['econet', 'customer', 'care', 'is', 'trash']",e,True,neg
