created_at,likes,replies,retweets,text,user_screen_name,tidy_tweet,tokenized_tweet,MNO_label,lang,sentiment,enquiry_count
2012-02-03 07:49:38,0,0,1,Telecel Zimbabwe is targeting 60% growth in subscribers this year in line with its planned $70 mln network expansion & upgrade programme,SirNige,telecel  is targeting     growth in subscribers this year in line with its planned     mln network expansion   upgrade programme,"['telecel', 'zimbabwe', 'is', 'targeting', 'growth', 'in', 'subscribers', 'this', 'year', 'in', 'line', 'with', 'its', 'planned', 'mln', 'network', 'expansion', 'upgrade', 'programme']",c,True,neutral,1
2012-02-07 22:54:25,0,1,2,"So, just a few days after rebranding the website, Telecel just took it offline. Guess they listened @joeblackzw http://www.telecel.co.zw ",lskmakani,so  just a few days after rebranding the website  telecel just took it offline  guess they listened  joeblackzw  ,"['so', 'just', 'a', 'few', 'days', 'after', 'rebranding', 'the', 'website', 'telecel', 'just', 'took', 'it', 'offline', 'guess', 'they', 'listened', 'joeblackzw']",c,True,neutral,1
2012-02-11 12:01:45,0,0,1,Bulawayo24 NEWS | Telecel launches emergency airtime credit facility http://shar.es/f9EPY ,Byo24News,bulawayo   news   telecel launches emergency airtime credit facility  ,"['bulawayo', 'news', 'telecel', 'launches', 'emergency', 'airtime', 'credit', 'facility']",c,True,neutral,1
2012-02-14 08:09:01,0,0,1,Telecel goes red for Valentine’s http://bit.ly/yKsgQm  #Twimbos #Valentines #Zimbabwe,Techzim,telecel goes red for valentine s   #twimbos #valentines #,"['telecel', 'goes', 'red', 'for', 'valentine', 's', '#twimbos', '#valentines', '#zimbabwe']",c,True,neutral,1
2012-02-15 07:38:02,0,0,1,"$ 5.5 million fined imposed on Airtel, Telmob and Telecel by Burkina Faso telecoms regulator http://www.itnewsafrica.com/2012/02/burkina-faso-regulator-fines-airtel/ … @Kictanet",MichaelOuma,      million fined imposed on airtel  telmob and telecel by burkina faso telecoms regulator     kictanet,"['million', 'fined', 'imposed', 'on', 'airtel', 'telmob', 'and', 'telecel', 'by', 'burkina', 'faso', 'telecoms', 'regulator', 'kictanet']",c,True,neutral,1
2012-03-17 23:01:29,1,0,2,"GONO'S MASSIVE $800 000 PHONE BILL: Zimbabwe'sstate-owned cellphone operator, NetOne, has hauled central bank go... http://bit.ly/zwSa66 ",Newsdzezimbabwe,gono s massive          phone bill   sstate owned cellphone operator  netone  has hauled central       ,"['gono', 's', 'massive', 'phone', 'bill', 'zimbabwe', 'sstate', 'owned', 'cellphone', 'operator', 'netone', 'has', 'hauled', 'central', 'bank', 'go']",c,True,neutral,1
2012-03-19 17:32:35,0,0,4,"Central bank chief Gideon Gono reportedly owes the state owned NetOne mobile network US$800,000 in unpaid phone bills http://shar.es/p7gxi ",LanceGuma,central  chief gideon gono reportedly owes the state owned netone mobile network us         in unpaid phone bills  ,"['central', 'bank', 'chief', 'gideon', 'gono', 'reportedly', 'owes', 'the', 'state', 'owned', 'netone', 'mobile', 'network', 'us', 'in', 'unpaid', 'phone', 'bills']",c,True,neutral,1
2012-05-04 20:39:49,2,3,5,MANINJA REMEMBER 2MOROW DI NINJA PREZIDENT & THE VIGILANCE BAND LIVE AT THE HIFA  TELECEL MAINSTAGE FROM... http://fb.me/1lFWgrlSu ,winkydonline,maninja remember  morow di ninja prezident   the vigilance band live at the hifa  telecel mainstage from     ,"['maninja', 'remember', 'morow', 'di', 'ninja', 'prezident', 'the', 'vigilance', 'band', 'live', 'at', 'the', 'hifa', 'telecel', 'mainstage', 'from']",c,True,neutral,1
2012-05-05 09:52:17,0,2,3,"MANINJA TICKETS ARE STILL AVAILABLE @ HIFA BOX OFFICE, THE  WHOLE VIGILANCE FROM 1PM @ TELECEL MAINSTAGE. HAIKONA... http://fb.me/25yylG4rB ",winkydonline,maninja tickets are still available   hifa box office  the  whole vigilance from  pm   telecel mainstage  haikona     ,"['maninja', 'tickets', 'are', 'still', 'available', 'hifa', 'box', 'office', 'the', 'whole', 'vigilance', 'from', 'pm', 'telecel', 'mainstage', 'haikona']",c,True,neutral,1
2012-05-06 18:12:11,0,0,4,Oliver Mtukudzi & friends about to hit the Telecel Main Stage at HIFA right now. Electric atmosphere here!!!!,zimbojam,oliver mtukudzi   friends about to hit the telecel main stage at hifa right now  electric atmosphere here    ,"['oliver', 'mtukudzi', 'friends', 'about', 'to', 'hit', 'the', 'telecel', 'main', 'stage', 'at', 'hifa', 'right', 'now', 'electric', 'atmosphere', 'here']",c,True,neutral,1
2012-05-10 18:47:09,0,0,2,#2008Memories Telecel line was going for US$100  now its $1 for 2 #madness,MunyaBloggo,#    memories telecel line was going for us      now its    for   #madness,"['#', 'memories', 'telecel', 'line', 'was', 'going', 'for', 'us', 'now', 'its', 'for', '#madness']",c,True,neg,1
